pcode,name,hierarchy,parent_pcode
PH061909001,Agbalo,ASM4,PH061909000
PH060411001,Agbalogo,ASM4,PH060411000
PH175910001,Agbaluto,ASM4,PH175910000
PH052002002,Agban,ASM4,PH052002000
PH060403001,Agbanawan,ASM4,PH060403000
PH061909002,Agbanban,ASM4,PH061909000
PH072206001,Agbanga,ASM4,PH072206000
PH083734001,Agbanga,ASM4,PH083734000
PH034923002,Agbannawag,ASM4,PH034923000
PH143213001,Agbannawag,ASM4,PH143213000
PH061912001,Agbanog,ASM4,PH061912000
PH061904001,Agbatuan,ASM4,PH061904000
PH063003001,Agbatuan,ASM4,PH063003000
PH063001002,Agbobolo,ASM4,PH063001000
PH064506001,Agboy,ASM4,PH064506000
PH063028001,Agboy Norte,ASM4,PH063028000
PH063028002,Agboy Sur,ASM4,PH063028000
PH175910003,Agbudia,ASM4,PH175910000
PH061906002,Agbun-od,ASM4,PH061906000
PH061901001,Agcabugao,ASM4,PH061901000
PH061906003,Agcagay,ASM4,PH061906000
PH063013002,Agcalaga,ASM4,PH063013000
PH034911001,Agcano,ASM4,PH034911000
PH063023002,Agcarope,ASM4,PH063023000
PH060408001,Agcawilan,ASM4,PH060408000
PH061917003,Agcococ,ASM4,PH061917000
PH063007002,Agcuyawan Calsada,ASM4,PH063007000
PH063007003,Agcuyawan Pulo,ASM4,PH063007000
PH061901002,Agdahon,ASM4,PH061901000
PH063035001,Agdahon,ASM4,PH063035000
PH061912002,Agdalipe,ASM4,PH061912000
PH063038001,Agdaliran,ASM4,PH063038000
PH051701001,Agdangan Pob. (San Cayetano),ASM4,PH051701000
PH015524002,Agdao,ASM4,PH015524000
PH015532002,Agdao,ASM4,PH015532000
PH112402002,Agdao,ASM4,PH112402000
PH063035002,Agdayao,ASM4,PH063035000
PH013306001,Agdeppa,ASM4,PH013306000
PH060406002,Agdugayan,ASM4,PH060406000
PH063030001,Agdum,ASM4,PH063030000
PH012815001,Aggasi,ASM4,PH012815000
PH023114002,Aggasian,ASM4,PH023114000
PH012903001,Aggay,ASM4,PH012903000
PH023106001,Aggub,ASM4,PH023106000
PH025013001,Aggub,ASM4,PH025013000
PH021519001,Aggugaddan,ASM4,PH021519000
PH021504002,Agguirit,ASM4,PH021504000
PH021517001,Aggunetan,ASM4,PH021517000
PH175103001,Agkawayan,ASM4,PH175103000
PH061910002,Agkilo,ASM4,PH061910000
PH074612001,Aglahug,ASM4,PH074612000
PH061904002,Aglalana,ASM4,PH061904000
PH063035003,Aglalana,ASM4,PH063035000
PH061904003,Aglanot,ASM4,PH061904000
PH037111001,Aglao,ASM4,PH037111000
PH101312001,Aglayan,ASM4,PH101312000
PH023130001,Agliam,ASM4,PH023130000
PH061906004,Aglibacao,ASM4,PH061906000
PH063013003,Aglibacao,ASM4,PH063013000
PH061907001,Aglimocon,ASM4,PH061907000
PH061917004,Aglinab,ASM4,PH061917000
PH012819001,Aglipay,ASM4,PH012819000
PH034923011,Aglipay (Curva),ASM4,PH034923000
PH012805001,Aglipay (Pob.),ASM4,PH012805000
PH063023003,Aglobong,ASM4,PH063023000
PH061906005,Agloloway,ASM4,PH061906000
PH063013004,Aglonok,ASM4,PH063013000
PH063015002,Aglosong,ASM4,PH063015000
PH061910003,Agloway,ASM4,PH061910000
PH060411002,Aglucay,ASM4,PH060411000
PH061917005,Aglupacan,ASM4,PH061917000
PH060409001,Agmailig,ASM4,PH060409000
PH061905001,Agmalobo,ASM4,PH061905000
PH063031002,Agmanaphao,ASM4,PH063031000
PH175915001,Agmanic,ASM4,PH175915000
PH061901003,Agnaga,ASM4,PH061901000
PH063015003,Agnaga,ASM4,PH063015000
PH175910004,Agnaga,ASM4,PH175910000
PH050517001,Agnas (San Miguel Island),ASM4,PH050517000
PH175910005,Agnay,ASM4,PH175910000
PH031417001,Agnaya,ASM4,PH031417000
PH175910006,Agnipa,ASM4,PH175910000
PH015543001,Agno,ASM4,PH015543000
PH175916001,Agnonoc,ASM4,PH175916000
PH063046002,Ago,ASM4,PH063046000
PH045607001,Agoho,ASM4,PH045607000
PH054109001,Agoho,ASM4,PH054109000
PH101804001,Agoho,ASM4,PH101804000
PH052008001,Agojo,ASM4,PH052008000
PH061909003,Agojo,ASM4,PH061909000
PH175907001,Agojo,ASM4,PH175907000
PH050513001,Agol,ASM4,PH050513000
PH160201002,Agong-ong,ASM4,PH160201000
PH050514001,Agos,ASM4,PH050514000
PH051703001,Agos,ASM4,PH051703000
PH175206002,Agos,ASM4,PH175206000
PH045620002,Agos-agos,ASM4,PH045620000
PH051717001,Agosais,ASM4,PH051717000
PH174001001,Agot,ASM4,PH174001000
PH061917006,Agpalali,ASM4,PH061917000
PH175910002,Agpanabat,ASM4,PH175910000
PH087808001,Agpangi,ASM4,PH087808000
PH064505001,Agpangi,ASM4,PH064505000
PH013308001,Agpay,ASM4,PH013308000
PH050504001,Agpay,ASM4,PH050504000
PH063027001,Agpipili,ASM4,PH063027000
PH051717002,Agpo-Camagong-Tabog,ASM4,PH051717000
PH175912001,Agpudlos,ASM4,PH175912000
PH060614001,Agricula,ASM4,PH060614000
PH124709002,Agriculture,ASM4,PH124709000
PH063029004,AGROCEL Pob. (Aguinaldo-Roxas--Celso Mayor),ASM4,PH063029000
PH051730002,Agrupacion,ASM4,PH051730000
PH086016001,Agrupacion,ASM4,PH086016000
PH160303031,Agsabu,ASM4,PH160303000
PH063016002,Agsalanan,ASM4,PH063016000
PH175206001,Agsalin,ASM4,PH175206000
PH082617001,Agsam,ASM4,PH082617000
PH166810001,Agsam,ASM4,PH166810000
PH082611001,Agsaman,ASM4,PH082611000
PH067901001,Agsanayan,ASM4,PH067901000
PH175908001,Agsao,ASM4,PH175908000
PH061915001,Agsilab,ASM4,PH061915000
PH063002002,Agsing,ASM4,PH063002000
PH061904006,Agsirab,ASM4,PH061904000
PH063025001,Agsirab,ASM4,PH063025000
PH071230001,Agsoso,ASM4,PH071230000
PH072217002,Agsungot,ASM4,PH072217000
PH072216001,Agsuwao,ASM4,PH072216000
PH063028003,Agta,ASM4,PH063028000
PH063035004,Agtabo,ASM4,PH063035000
PH061902002,Agtambi,ASM4,PH061902000
PH063035005,Agtambo,ASM4,PH063035000
PH140101001,Agtangao,ASM4,PH140101000
PH061902003,Agtanguay,ASM4,PH061902000
PH063016003,Agtatacay,ASM4,PH063016000
PH061915002,Agtatacay Norte,ASM4,PH061915000
PH061915003,Agtatacay Sur,ASM4,PH061915000
PH013303001,Agtipal,ASM4,PH013303000
PH175913001,Agtiwa,ASM4,PH175913000
PH175910007,Agtongo,ASM4,PH175910000
PH072206002,Agtugop,ASM4,PH072206000
PH063025002,Agtuman,ASM4,PH063025000
PH054105002,Aguada,ASM4,PH054105000
PH054117001,Aguada,ASM4,PH054117000
PH084816001,Aguada,ASM4,PH084816000
