admin2_name,Attribute,Value
PH156600000,literacy_all,0.754
PH157000000,literacy_all,0.746
PH160200000,literacy_all,0.984
PH160300000,literacy_all,0.966
PH166700000,literacy_all,0.983
PH166800000,literacy_all,0.975
PH168500000,literacy_all,0.984
PH174000000,literacy_all,0.987
PH175100000,literacy_all,0.953
PH175200000,literacy_all,0.966
PH175300000,literacy_all,0.947
PH175900000,literacy_all,0.979
PH184500000,literacy_all,0.975
PH184600000,literacy_all,0.949
PH012800000,literacy_male,0.986
PH012900000,literacy_male,0.99
PH013300000,literacy_male,0.989
PH015500000,literacy_male,0.992
PH020900000,literacy_male,0.992
PH021500000,literacy_male,0.937
PH023100000,literacy_male,0.978
PH025000000,literacy_male,0.972
PH025700000,literacy_male,0.968
PH030800000,literacy_male,0.983
PH031400000,literacy_male,0.993
PH034900000,literacy_male,0.99
PH035400000,literacy_male,0.99
PH036900000,literacy_male,0.987
PH037100000,literacy_male,0.985
PH037700000,literacy_male,0.986
PH041000000,literacy_male,0.986
PH042100000,literacy_male,0.993
PH043400000,literacy_male,0.993
PH045600000,literacy_male,0.987
PH045800000,literacy_male,0.983
PH050500000,literacy_male,0.988
PH051600000,literacy_male,0.982
PH051700000,literacy_male,0.986
PH052000000,literacy_male,0.988
PH054100000,literacy_male,0.961
PH056200000,literacy_male,0.986
PH060400000,literacy_male,0.975
PH060600000,literacy_male,0.965
PH061900000,literacy_male,0.974
PH063000000,literacy_male,0.974
PH067900000,literacy_male,0.977
PH071200000,literacy_male,0.976
PH072200000,literacy_male,0.983
PH076100000,literacy_male,0.982
PH082600000,literacy_male,0.962
PH083700000,literacy_male,0.966
PH084800000,literacy_male,0.946
PH086000000,literacy_male,0.927
PH086400000,literacy_male,0.98
PH087800000,literacy_male,0.957
PH097200000,literacy_male,0.94
PH097300000,literacy_male,0.948
PH098300000,literacy_male,0.955
PH099700000,literacy_male,0.904
PH101300000,literacy_male,0.949
PH101800000,literacy_male,0.991
PH103500000,literacy_male,0.948
PH104200000,literacy_male,0.926
PH104300000,literacy_male,0.984
PH112300000,literacy_male,0.97
PH112400000,literacy_male,0.982
PH112500000,literacy_male,0.958
PH118200000,literacy_male,0.975
PH118600000,literacy_male,0.829
PH124700000,literacy_male,0.948
PH126300000,literacy_male,0.961
PH126500000,literacy_male,0.923
PH128000000,literacy_male,0.899
PH129800000,literacy_male,0.935
PH133900000,literacy_male,0.988
PH137400000,literacy_male,0.996
PH137500000,literacy_male,0.985
PH137600000,literacy_male,0.992
PH140100000,literacy_male,0.98
PH141100000,literacy_male,0.979
PH142700000,literacy_male,0.931
PH143200000,literacy_male,0.937
PH144400000,literacy_male,0.952
PH148100000,literacy_male,0.954
PH150700000,literacy_male,0.809
PH153600000,literacy_male,0.856
PH153800000,literacy_male,0.812
PH156600000,literacy_male,0.755
PH157000000,literacy_male,0.747
PH160200000,literacy_male,0.981
PH160300000,literacy_male,0.964
PH166700000,literacy_male,0.98
PH166800000,literacy_male,0.972
PH168500000,literacy_male,0.983
PH174000000,literacy_male,0.987
PH175100000,literacy_male,0.951
PH175200000,literacy_male,0.966
PH175300000,literacy_male,0.947
PH175900000,literacy_male,0.979
PH184500000,literacy_male,0.972
PH184600000,literacy_male,0.942
PH012800000,literacy_female,0.984
PH012900000,literacy_female,0.987
PH013300000,literacy_female,0.987
PH015500000,literacy_female,0.992
PH020900000,literacy_female,0.986
PH021500000,literacy_female,0.949
PH023100000,literacy_female,0.981
PH025000000,literacy_female,0.97
PH025700000,literacy_female,0.97
PH030800000,literacy_female,0.982
PH031400000,literacy_female,0.993
PH034900000,literacy_female,0.99
PH035400000,literacy_female,0.99
PH036900000,literacy_female,0.988
PH037100000,literacy_female,0.986
PH037700000,literacy_female,0.987
PH041000000,literacy_female,0.986
PH042100000,literacy_female,0.993
PH043400000,literacy_female,0.994
PH045600000,literacy_female,0.988
PH045800000,literacy_female,0.983
PH050500000,literacy_female,0.989
PH051600000,literacy_female,0.983
PH051700000,literacy_female,0.987
PH052000000,literacy_female,0.99
PH054100000,literacy_female,0.968
PH056200000,literacy_female,0.987
PH060400000,literacy_female,0.98
PH060600000,literacy_female,0.972
PH061900000,literacy_female,0.978
PH063000000,literacy_female,0.977
PH067900000,literacy_female,0.979
PH071200000,literacy_female,0.98
PH072200000,literacy_female,0.983
PH076100000,literacy_female,0.981
PH082600000,literacy_female,0.977
PH083700000,literacy_female,0.977
PH084800000,literacy_female,0.964
PH086000000,literacy_female,0.956
PH086400000,literacy_female,0.986
PH087800000,literacy_female,0.97
PH097200000,literacy_female,0.942
PH097300000,literacy_female,0.947
PH098300000,literacy_female,0.952
PH099700000,literacy_female,0.893
PH101300000,literacy_female,0.958
PH101800000,literacy_female,0.996
PH103500000,literacy_female,0.953
PH104200000,literacy_female,0.951
PH104300000,literacy_female,0.988
PH112300000,literacy_female,0.972
PH112400000,literacy_female,0.983
PH112500000,literacy_female,0.963
PH118200000,literacy_female,0.979
PH118600000,literacy_female,0.839
PH124700000,literacy_female,0.943
PH126300000,literacy_female,0.959
PH126500000,literacy_female,0.919
PH128000000,literacy_female,0.902
PH129800000,literacy_female,0.928
PH133900000,literacy_female,0.987
PH137400000,literacy_female,0.997
PH137500000,literacy_female,0.986
PH137600000,literacy_female,0.992
PH140100000,literacy_female,0.977
PH141100000,literacy_female,0.975
PH142700000,literacy_female,0.925
PH143200000,literacy_female,0.929
PH144400000,literacy_female,0.924
PH148100000,literacy_female,0.952
PH150700000,literacy_female,0.792
PH153600000,literacy_female,0.862
PH153800000,literacy_female,0.807
PH156600000,literacy_female,0.754
PH157000000,literacy_female,0.745
PH160200000,literacy_female,0.986
PH160300000,literacy_female,0.969
PH166700000,literacy_female,0.985
PH166800000,literacy_female,0.978
PH168500000,literacy_female,0.985
PH174000000,literacy_female,0.988
